ISO3,Year,WID_income_share_bottom50
BLR,2008,20.169999999999998
BLR,2009,20.9
BLR,2010,20.8
BLR,2011,19.27
BLR,2012,20.69
BLR,2013,22.75
BLR,2014,22.1
BLR,2015,22.78
BLR,2016,22.770000000000003
BLR,2017,22.29
BLR,2018,22.650000000000002
BLR,2019,22.58
BLR,2020,22.58
BLR,2021,22.58
BLR,2022,22.58
BLZ,1995,8.39
BLZ,1996,8.39
BLZ,1997,8.39
BLZ,1998,8.39
BLZ,1999,8.39
BLZ,2000,8.39
BLZ,2001,8.02
BLZ,2002,8.1
BLZ,2003,8.48
BLZ,2004,8.72
BLZ,2005,8.7
BLZ,2006,9.04
BLZ,2007,8.92
BLZ,2008,9.16
BLZ,2009,9.33
BLZ,2010,9.47
BLZ,2011,9.78
BLZ,2012,10.03
BLZ,2013,10.09
BLZ,2014,10.25
BLZ,2015,10.31
BLZ,2016,10.280000000000001
BLZ,2017,10.2
BLZ,2018,10.11
BLZ,2019,10.15
BLZ,2020,8.690000000000001
BLZ,2021,9.49
BLZ,2022,10.14
CAN,1995,17.71
CAN,1996,17.52
CAN,1997,17.29
CAN,1998,17.21
CAN,1999,17.380000000000003
CAN,2000,17.02
CAN,2001,17.37
CAN,2002,17.24
CAN,2003,17.130000000000003
CAN,2004,17.01
CAN,2005,16.950000000000003
CAN,2006,16.75
CAN,2007,16.75
CAN,2008,17.03
CAN,2009,17.23
CAN,2010,17.05
CAN,2011,17.07
CAN,2012,17.21
CAN,2013,17.16
CAN,2014,17.349999999999998
CAN,2015,17.34
CAN,2016,17.8
CAN,2017,17.62
CAN,2018,17.849999999999998
CAN,2019,17.91
CAN,2020,16.91
CAN,2021,17.43
CAN,2022,16.919999999999998
COD,1995,12.520000000000001
COD,1996,12.520000000000001
COD,1997,12.520000000000001
COD,1998,12.520000000000001
COD,1999,12.520000000000001
COD,2000,12.520000000000001
COD,2001,12.520000000000001
COD,2002,12.520000000000001
COD,2003,12.520000000000001
COD,2004,12.520000000000001
COD,2005,12.53
COD,2006,12.55
COD,2007,12.559999999999999
COD,2008,12.58
COD,2009,12.590000000000002
COD,2010,12.61
COD,2011,12.620000000000001
COD,2012,12.64
COD,2013,12.5
COD,2014,12.370000000000001
COD,2015,12.23
COD,2016,12.1
COD,2017,11.959999999999999
COD,2018,11.83
COD,2019,11.690000000000001
COD,2020,11.559999999999999
COD,2021,11.559999999999999
COD,2022,11.559999999999999
CAF,1995,6.05
CAF,1996,6.17
CAF,1997,6.29
CAF,1998,6.41
CAF,1999,6.54
CAF,2000,6.660000000000001
CAF,2001,6.78
CAF,2002,6.9
CAF,2003,7.02
CAF,2004,7.1499999999999995
CAF,2005,7.2700000000000005
CAF,2006,7.39
CAF,2007,7.51
CAF,2008,7.630000000000001
CAF,2009,7.9799999999999995
CAF,2010,8.32
CAF,2011,8.66
CAF,2012,9.01
CAF,2013,9.35
CAF,2014,9.700000000000001
CAF,2015,10.05
CAF,2016,10.39
CAF,2017,10.74
CAF,2018,11.08
CAF,2019,11.43
CAF,2020,11.78
CAF,2021,12.13
CAF,2022,12.13
COG,1995,10.39
COG,1996,10.39
COG,1997,10.39
COG,1998,10.39
COG,1999,10.39
COG,2000,10.39
COG,2001,10.39
COG,2002,10.39
COG,2003,10.39
COG,2004,10.39
COG,2005,10.39
COG,2006,10.31
COG,2007,10.23
COG,2008,10.15
COG,2009,10.07
COG,2010,9.99
COG,2011,9.92
COG,2012,9.92
COG,2013,9.92
COG,2014,9.92
COG,2015,9.92
COG,2016,9.92
COG,2017,9.92
COG,2018,9.92
COG,2019,9.92
COG,2020,9.92
COG,2021,9.92
COG,2022,9.92
CHE,1995,24.19
CHE,1996,23.48
CHE,1997,23.27
CHE,1998,23
CHE,1999,23.23
CHE,2000,22.84
CHE,2001,22.95
CHE,2002,23.28
CHE,2003,22.52
CHE,2004,22.41
CHE,2005,21.88
CHE,2006,21.78
CHE,2007,22.220000000000002
CHE,2008,23.14
CHE,2009,22.91
CHE,2010,22
CHE,2011,22.189999999999998
CHE,2012,22.5
CHE,2013,22.35
CHE,2014,22.39
CHE,2015,22.5
CHE,2016,22.35
CHE,2017,22.59
CHE,2018,23.119999999999997
CHE,2019,23.31
CHE,2020,23.31
CHE,2021,23.24
CHE,2022,22.8
CIV,1995,12.879999999999999
CIV,1996,13.25
CIV,1997,13.63
CIV,1998,14.000000000000002
CIV,1999,13.77
CIV,2000,13.54
CIV,2001,13.309999999999999
CIV,2002,13.08
CIV,2003,12.950000000000001
CIV,2004,12.82
CIV,2005,12.690000000000001
CIV,2006,12.55
CIV,2007,12.42
CIV,2008,12.29
CIV,2009,12.379999999999999
CIV,2010,12.47
CIV,2011,12.559999999999999
CIV,2012,12.65
CIV,2013,12.740000000000002
CIV,2014,12.83
CIV,2015,12.920000000000002
CIV,2016,13.44
CIV,2017,13.96
