ISO3,Year,SWIID_gini_disp
COM,2011,47
COM,2012,46.5
COM,2013,46
COM,2014,45.5
COM,2015,44.9
COM,2016,44.4
COM,2017,43.8
COM,2018,43.3
COM,2019,42.7
COM,2020,42.1
COM,2021,41.8
COM,2022,41.5
COM,2023,41.1
COM,2024,40.8
COG,2005,47.2
COG,2006,47.3
COG,2007,47.5
COG,2008,47.7
COG,2009,47.9
COG,2010,48
COG,2011,48.2
COD,2004,43.6
COD,2005,43.7
COD,2006,43.8
COD,2007,43.8
COD,2008,43.8
COD,2009,43.9
COD,2010,43.9
COD,2011,44
COD,2012,44
COD,2013,44.1
COD,2014,44.1
COD,2015,44.2
COD,2016,44.2
COD,2017,44.3
COD,2018,44.3
COD,2019,44.3
COD,2020,44.4
CRI,1961,42.5
CRI,1962,42.5
CRI,1963,42.4
CRI,1964,42.3
CRI,1965,42.2
CRI,1966,42.1
CRI,1967,42
CRI,1968,41.9
CRI,1969,41.8
CRI,1970,41.7
CRI,1971,41.6
CRI,1972,41.4
CRI,1973,41.3
CRI,1974,41.1
CRI,1975,40.9
CRI,1976,40.8
CRI,1977,40.6
CRI,1978,40.4
CRI,1979,40.3
CRI,1980,40.1
CRI,1981,39.9
CRI,1982,39.5
CRI,1983,39.2
CRI,1984,39.1
CRI,1985,38.9
CRI,1986,38.9
CRI,1987,39.3
CRI,1988,39.9
CRI,1989,40.6
CRI,1990,41.1
CRI,1991,41.5
CRI,1992,41.8
CRI,1993,42
CRI,1994,42.3
CRI,1995,42.4
CRI,1996,42.6
CRI,1997,42.9
CRI,1998,43.3
CRI,1999,44
CRI,2000,44.8
CRI,2001,45.7
CRI,2002,46
CRI,2003,45.7
CRI,2004,45.5
CRI,2005,45.4
CRI,2006,45.6
CRI,2007,45.7
CRI,2008,45.8
CRI,2009,46
CRI,2010,45.9
CRI,2011,46.1
CRI,2012,46.3
CRI,2013,46.6
CRI,2014,46.4
CRI,2015,46.3
CRI,2016,46.3
CRI,2017,46.2
CRI,2018,46.1
CRI,2019,46.2
CRI,2020,46.3
CRI,2021,46
CRI,2022,45.5
CRI,2023,45.1
CRI,2024,44.7
CRI,2025,44.6
HRV,1988,27.6
HRV,1989,27.9
HRV,1990,27.9
HRV,1991,28
HRV,1992,28
HRV,1993,28.1
HRV,1994,28.1
HRV,1995,28.1
HRV,1996,28.2
HRV,1997,28.2
HRV,1998,28.3
HRV,1999,27.9
HRV,2000,27.5
HRV,2001,27
HRV,2002,26.6
HRV,2003,26.4
HRV,2004,26.4
HRV,2005,26.3
HRV,2006,26.4
HRV,2007,26.7
HRV,2008,27.4
HRV,2009,28
HRV,2010,28.6
HRV,2011,28.8
HRV,2012,29
HRV,2013,29.1
HRV,2014,29.1
HRV,2015,28.9
HRV,2016,28.8
HRV,2017,28.6
HRV,2018,28.4
HRV,2019,28.2
HRV,2020,28.1
HRV,2021,28.1
HRV,2022,28.2
HRV,2023,28.2
CYP,1985,30.5
CYP,1986,30.4
CYP,1987,30.4
CYP,1988,30.3
CYP,1989,30.1
CYP,1990,30
CYP,1991,29.9
CYP,1992,29.9
CYP,1993,29.8
